,walk_length,in_giant_component,started_in_2core,distinct_sites,is_retroceding,c
27953,699,True,True,410,False,6
27954,126,True,True,100,False,6
27955,3378,True,True,902,False,6
27956,633,True,True,388,False,6
27957,1584,True,True,713,False,6
27958,347,True,True,234,False,6
27959,3868,True,True,923,False,6
27960,2,True,True,2,True,6
27961,429,True,True,287,False,6
27962,2,True,True,2,True,6
27963,1199,True,True,579,False,6
27964,1804,True,True,730,False,6
27965,801,True,True,461,False,6
27966,592,True,True,371,False,6
27967,298,True,True,201,False,6
27968,1316,True,True,616,False,6
27969,1372,True,True,657,False,6
27970,273,True,True,191,False,6
27971,335,True,True,243,False,6
27972,2,True,True,2,True,6
27973,364,True,True,242,False,6
27974,1306,True,True,599,False,6
27975,1824,True,True,727,False,6
27976,2,True,True,2,True,6
27977,14,True,True,14,False,6
27978,733,True,True,447,False,6
27979,176,True,True,131,False,6
27980,1220,True,True,586,False,6
27981,2,True,True,2,True,6
27982,262,True,True,190,False,6
27983,155,True,True,125,False,6
27984,384,True,True,259,False,6
27985,2,True,True,2,True,6
27986,433,True,True,288,False,6
27987,2,True,True,2,True,6
27988,250,True,True,175,False,6
27989,2,True,True,2,True,6
27990,161,True,True,122,False,6
27991,630,True,True,382,False,6
27992,768,True,True,443,False,6
27993,330,True,True,230,False,6
27994,2319,True,True,789,False,6
27995,460,True,True,305,False,6
27996,827,True,True,462,False,6
27997,1451,True,True,640,False,6
27998,218,True,True,171,False,6
27999,3530,True,True,892,False,6
28000,133,True,True,107,False,6
28001,410,True,True,287,False,6
28002,1436,True,True,636,False,6
28003,367,True,True,227,False,6
28004,913,True,True,504,False,6
28005,2,True,True,2,True,6
28006,130,True,True,101,False,6
28007,734,True,True,457,False,6
28008,17,True,True,14,False,6
28009,2,True,True,2,True,6
28010,166,True,True,120,False,6
28011,94,True,True,76,False,6
28012,7686,True,True,972,False,6
28013,146,True,True,109,False,6
28014,237,True,True,184,False,6
28015,2960,True,True,876,False,6
28016,1449,True,True,659,False,6
28017,4599,True,True,939,False,6
28018,1069,True,True,553,False,6
28019,1434,True,True,642,False,6
28020,2,True,True,2,True,6
28021,2,True,True,2,True,6
28022,351,True,True,247,False,6
28023,1440,True,True,663,False,6
28024,3856,True,True,915,False,6
28025,1351,True,True,595,False,6
28026,1405,True,True,633,False,6
28027,1922,True,True,751,False,6
28028,124,True,True,99,False,6
28029,689,True,True,402,False,6
28030,5630,True,True,956,False,6
28031,1186,True,True,606,False,6
28032,3406,True,True,879,False,6
28033,1724,True,True,728,False,6
28034,2,True,True,2,True,6
28035,22,True,True,12,False,6
28036,1883,True,True,744,False,6
28037,626,True,True,418,False,6
28038,21,True,True,19,False,6
28039,1210,True,True,625,False,6
28040,876,True,True,488,False,6
28041,1044,True,True,570,False,6
28042,802,True,True,464,False,6
